p1_category	p1	p2_category	p2	rg	se	z	p	q
Metabolic	HbA1c	Hematological	Mono	-0.0013	0.0866	-0.0155	0.98762	0.995429715
Metabolic	HbA1c	Hematological	Lym	0.0338	0.0913	0.3707	0.71084	0.903018476
Metabolic	HbA1c	Hematological	RBC	0.0571	0.078	0.7324	0.46394	0.782087404
Metabolic	HbA1c	Hematological	Hb	-0.101	0.0752	-1.3417	0.17969	0.544633158
Metabolic	HbA1c	Hematological	Ht	-0.0429	0.078	-0.5505	0.58198	0.851020792
Metabolic	HbA1c	Hematological	MCV	-0.1297	0.0673	-1.9266	0.05403	0.30487245
Metabolic	HbA1c	Hematological	MCH	-0.1788	0.0682	-2.6217	0.0087503	0.097903357
Metabolic	HbA1c	Hematological	MCHC	-0.2352	0.0829	-2.8378	0.004542	0.059821811
Metabolic	HbA1c	Hematological	Plt	0.0832	0.0732	1.1356	0.25612	0.641238748
Metabolic	HbA1c	Blood pressure	SBP	2.00E-04	0.0744	0.0021	0.99832	0.999310373
Metabolic	HbA1c	Blood pressure	DBP	-0.0708	0.0746	-0.9484	0.34294	0.710181407
Metabolic	HbA1c	Blood pressure	MAP	-0.0364	0.0739	-0.4919	0.62277	0.866757962
Metabolic	HbA1c	Blood pressure	PP	0.0986	0.0792	1.2441	0.21347	0.588308776
Metabolic	HbA1c	Echocardiographic	IVS	-0.0879	0.1712	-0.5134	0.60765	0.864350672
Metabolic	HbA1c	Echocardiographic	PW	0.1194	0.1246	0.958	0.33807	0.707579968
Metabolic	HbA1c	Echocardiographic	LVDd	0.1075	0.1024	1.0496	0.29391	0.6696042
Metabolic	HbA1c	Echocardiographic	LVDs	0.0815	0.1011	0.8063	0.42006	0.762966122
Metabolic	HbA1c	Echocardiographic	LVM	0.1121	0.1129	0.9922	0.32109	0.695182001
Metabolic	HbA1c	Echocardiographic	LVMI	0.2429	0.1311	1.8534	0.06382	0.328769041
Metabolic	HbA1c	Echocardiographic	RWT	0.0135	0.1209	0.1114	0.91132	0.975610126
Metabolic	HbA1c	Echocardiographic	FS	-0.0866	0.1451	-0.5972	0.5504	0.833797447
Metabolic	HbA1c	Echocardiographic	EF	-0.103	0.1329	-0.7748	0.43843	0.76994827
Metabolic	HbA1c	Metabolic disease	T2D	0.7238	0.0745	9.7173	2.54E-22	3.11E-20
Metabolic	HbA1c	Cardiovascular disease	IS	0.195	0.0987	1.9757	0.048191	0.286367156
Metabolic	HbA1c	Cardiovascular disease	CeAn	-0.0167	0.0995	-0.1682	0.86643	0.959381315
Metabolic	HbA1c	Cardiovascular disease	MI	0.2723	0.0774	3.5196	0.00043227	0.010136343
Metabolic	HbA1c	Cardiovascular disease	PAD	0.3848	0.1042	3.6921	0.00022238	0.005844564
Metabolic	HbA1c	Cardiovascular disease	AF	0.096	0.0978	0.9819	0.32613	0.699794564
Metabolic	HbA1c	Allergic disease	Asthma	0.1931	0.0991	1.9495	0.051233	0.294608558
Metabolic	HbA1c	Allergic disease	AD	0.0921	0.118	0.781	0.4348	0.768911892
Metabolic	HbA1c	Autoimmune disease	GD	0.1122	0.101	1.1104	0.26682	0.649792985
Metabolic	HbA1c	Autoimmune disease	RA	-0.1111	0.083	-1.3382	0.18083	0.546186893
Metabolic	HbA1c	Infectious disease	CHB	0.0755	0.2038	0.3705	0.71104	0.903018476
Metabolic	HbA1c	Infectious disease	CHC	0.0329	0.1308	0.2515	0.80145	0.935211682
Metabolic	HbA1c	Hematologic disease	Anemia	-0.4776	0.2201	-2.1697	0.030029	0.223561909
Metabolic	HbA1c	Psychiatric disease	BD	-0.0157	0.0975	-0.161	0.87207	0.960626194
Metabolic	HbA1c	Psychiatric disease	SCZ	0.14	0.0887	1.5783	0.1145	0.438607312
Metabolic	HbA1c	Musculoskeletal disease	AIS	0.0634	0.0886	0.7154	0.47433	0.790735888
Metabolic	HbA1c	Musculoskeletal	Osteoporosis	-0.1252	0.214	-0.585	0.55855	0.836306167
Metabolic	HbA1c	Tumor	LuCa	0.1552	0.1969	0.7882	0.43056	0.767895887
Metabolic	HbA1c	Tumor	GaCa	0.332	0.1372	2.421	0.015479	0.142290526
Metabolic	HbA1c	Tumor	EsCa	-0.055	0.1182	-0.4654	0.64168	0.874378101
Metabolic	HbA1c	Tumor	CoCa	0.1892	0.1132	1.6713	0.094663	0.40350515
Metabolic	HbA1c	Tumor	PrCa	-0.0032	0.0853	-0.0379	0.9698	0.993040417
Metabolic	HbA1c	Tumor	BrCa	0.2248	0.1343	1.6741	0.094118	0.40350515
Metabolic	HbA1c	Tumor	EnCa	0.1497	0.1961	0.7634	0.44525	0.7707927
Metabolic	HbA1c	Tumor	UF	0.1241	0.1183	1.0488	0.29427	0.6696042
Metabolic	HbA1c	Other	Glaucoma	0.2079	0.1047	1.9853	0.047111	0.282089719
Metabolic	HbA1c	Other	COPD	0.1042	0.1296	0.8039	0.42144	0.763466112
Metabolic	HbA1c	Other	Epilepsy	0.2582	0.1939	1.3318	0.18294	0.548629503
Metabolic	HbA1c	Other	Pollinosis	0.1137	0.1511	0.7526	0.45171	0.775484588
Metabolic	HbA1c	Other	Urolithiasis	0.237	0.1098	2.1573	0.030983	0.226783978
Protein	TP	Protein	Alb	0.3937	0.0624	6.3123	2.75E-10	1.82E-08
Protein	TP	Protein	NAP	0.8058	0.022	36.5629	1.11E-292	3.64E-290
Protein	TP	Protein	A/G	-0.5246	0.0494	-10.6173	2.48E-26	3.34E-24
Protein	TP	Kidney-related	BUN	-0.1123	0.0542	-2.0711	0.038349	0.252631361
Protein	TP	Kidney-related	sCr	-0.05	0.0589	-0.8492	0.3958	0.744697993
Protein	TP	Kidney-related	eGFR	0.0676	0.0582	1.1613	0.24552	0.628402824
Protein	TP	Kidney-related	UA	0.1457	0.0469	3.1086	0.0018796	0.032282954
Protein	TP	Electrolyte	Na	-0.2735	0.0571	-4.7919	1.65E-06	7.19E-05
Protein	TP	Electrolyte	K	0.0248	0.0568	0.4359	0.66288	0.885138834
Protein	TP	Electrolyte	Cl	-0.3085	0.0537	-5.7428	9.31E-09	5.14E-07
Protein	TP	Electrolyte	Ca	0.2041	0.0767	2.6606	0.0078003	0.08905532
Protein	TP	Electrolyte	P	0.0262	0.0948	0.2767	0.78197	0.925666683
Protein	TP	Liver-related	TBil	0.0127	0.0654	0.1937	0.8464	0.953103508
Protein	TP	Liver-related	ZTT	0.5636	0.1733	3.2512	0.0011494	0.022275129
Protein	TP	Liver-related	AST	0.242	0.0621	3.8984	9.68E-05	0.002767612
Protein	TP	Liver-related	ALT	0.2137	0.0651	3.2835	0.0010254	0.020487073
Protein	TP	Liver-related	ALP	0.0774	0.0687	1.1258	0.26023	0.64419808
Protein	TP	Liver-related	GGT	0.2785	0.0574	4.8522	1.22E-06	5.49E-05
Protein	TP	Other biochemical	APTT	-0.0165	0.1096	-0.1504	0.88047	0.963635215
Protein	TP	Other biochemical	PT	0.0367	0.0913	0.4016	0.68798	0.896110465
Protein	TP	Other biochemical	Fbg	-0.309	0.2805	-1.1017	0.27061	0.65414121
Protein	TP	Other biochemical	CK	0.0881	0.0608	1.4489	0.14738	0.488126255
Protein	TP	Other biochemical	LDH	0.0699	0.0788	0.8877	0.37472	0.730778645
Protein	TP	Other biochemical	CRP	0.0242	0.1198	0.2019	0.84002	0.949912295
Protein	TP	Hematological	WBC	0.0675	0.0493	1.3694	0.17088	0.528551823
Protein	TP	Hematological	Neutro	-0.0452	0.0567	-0.7966	0.42566	0.766586124
Protein	TP	Hematological	Eosino	0.0632	0.0669	0.9452	0.34457	0.711300011
Protein	TP	Hematological	Baso	0.107	0.068	1.5738	0.11554	0.440130973
Protein	TP	Hematological	Mono	-0.0061	0.0689	-0.089	0.9291	0.981003339
Protein	TP	Hematological	Lym	0.1637	0.066	2.4823	0.013052	0.125734314
Protein	TP	Hematological	RBC	0.0276	0.0499	0.5533	0.58009	0.849540613
Protein	TP	Hematological	Hb	0.0433	0.051	0.8501	0.39525	0.744134135
Protein	TP	Hematological	Ht	0.0086	0.0504	0.1714	0.86392	0.959381315
Protein	TP	Hematological	MCV	-0.0338	0.0535	-0.6303	0.5285	0.821816758
Protein	TP	Hematological	MCH	0.0042	0.0579	0.0731	0.94173	0.985312763
Protein	TP	Hematological	MCHC	0.1069	0.0758	1.4111	0.15821	0.509917992
Protein	TP	Hematological	Plt	0.171	0.0576	2.9678	0.0029996	0.045359073
Protein	TP	Blood pressure	SBP	0.1117	0.0592	1.8871	0.059146	0.31641494
Protein	TP	Blood pressure	DBP	0.1677	0.0548	3.0612	0.0022047	0.036158279
Protein	TP	Blood pressure	MAP	0.1484	0.0559	2.6571	0.0078823	0.089729903
Protein	TP	Blood pressure	PP	0.038	0.0653	0.5814	0.56094	0.837024488
Protein	TP	Echocardiographic	IVS	-0.2749	0.1436	-1.9148	0.055523	0.307536164
Protein	TP	Echocardiographic	PW	-0.0546	0.0951	-0.5742	0.56582	0.841026712
Protein	TP	Echocardiographic	LVDd	0.1197	0.0782	1.5314	0.12568	0.456551837
Protein	TP	Echocardiographic	LVDs	0.14	0.0828	1.6913	0.090783	0.398103279
Protein	TP	Echocardiographic	LVM	-0.0106	0.0848	-0.125	0.90051	0.971191727
Protein	TP	Echocardiographic	LVMI	0.0538	0.0974	0.552	0.58098	0.85040248
Protein	TP	Echocardiographic	RWT	-0.1423	0.0951	-1.4968	0.13444	0.472448717
Protein	TP	Echocardiographic	FS	-0.2033	0.1153	-1.7623	0.07802	0.368104
Protein	TP	Echocardiographic	EF	-0.194	0.111	-1.7484	0.080399	0.373478629
Protein	TP	Metabolic disease	T2D	0.0674	0.0473	1.4245	0.15431	0.502727088
Protein	TP	Cardiovascular disease	IS	0.07	0.0796	0.8796	0.37909	0.734545492
Protein	TP	Cardiovascular disease	CeAn	0.091	0.0887	1.026	0.30487	0.681334855
Protein	TP	Cardiovascular disease	MI	0.02	0.0668	0.2992	0.7648	0.919983548
Protein	TP	Cardiovascular disease	PAD	0.1203	0.0774	1.5544	0.1201	0.448342803
Protein	TP	Cardiovascular disease	AF	0.0365	0.0682	0.5345	0.59297	0.858753891
Protein	TP	Allergic disease	Asthma	-0.0856	0.0735	-1.1638	0.24452	0.627072901
Protein	TP	Allergic disease	AD	0.0697	0.0993	0.7019	0.48272	0.793881494
Protein	TP	Autoimmune disease	GD	0.12	0.0775	1.5483	0.12154	0.450710833
Protein	TP	Autoimmune disease	RA	0.0436	0.0737	0.5923	0.55362	0.835443514
Protein	TP	Infectious disease	CHB	0.0469	0.1483	0.3159	0.75208	0.915779005
Protein	TP	Infectious disease	CHC	-0.1165	0.0901	-1.2936	0.1958	0.569602635
Protein	TP	Hematologic disease	Anemia	-0.1645	0.1529	-1.0762	0.28186	0.663015255
Protein	TP	Psychiatric disease	BD	0.0667	0.0934	0.7142	0.47512	0.790735888
Protein	TP	Psychiatric disease	SCZ	0.0026	0.0703	0.037	0.97045	0.993040417
Protein	TP	Musculoskeletal disease	AIS	0.0691	0.0593	1.1656	0.2438	0.626868346
Protein	TP	Musculoskeletal	Osteoporosis	-0.1385	0.1742	-0.795	0.42659	0.766586124
Protein	TP	Tumor	LuCa	-0.2942	0.1749	-1.6824	0.0925	0.402925473
Protein	TP	Tumor	GaCa	-0.2196	0.0932	-2.3564	0.018451	0.161279893
Protein	TP	Tumor	EsCa	-0.1321	0.1261	-1.0482	0.29456	0.6696042
Protein	TP	Tumor	CoCa	-0.1783	0.0991	-1.7999	0.071881	0.35010696
Protein	TP	Tumor	PrCa	-0.1265	0.0748	-1.6913	0.090779	0.398103279
Protein	TP	Tumor	BrCa	-0.1603	0.0941	-1.7043	0.088318	0.393910351
Protein	TP	Tumor	EnCa	-0.3138	0.1624	-1.9318	0.053386	0.302284642
Protein	TP	Tumor	UF	-0.002	0.0945	-0.0208	0.98338	0.995325945
Protein	TP	Other	Glaucoma	-0.0232	0.0812	-0.2864	0.7746	0.922520146
Protein	TP	Other	COPD	-0.1157	0.1037	-1.115	0.26484	0.648993121
Protein	TP	Other	Epilepsy	0.0091	0.1627	0.0558	0.95548	0.98966028
Protein	TP	Other	Pollinosis	0.0179	0.115	0.1553	0.87658	0.961994874
Protein	TP	Other	Urolithiasis	0.137	0.0766	1.7887	0.073667	0.356148114
Protein	Alb	Protein	NAP	-0.2131	0.0632	-3.3732	0.00074311	0.015738722
Protein	Alb	Protein	A/G	0.5656	0.0415	13.6245	2.86E-42	4.67E-40
Protein	Alb	Kidney-related	BUN	-0.0334	0.0567	-0.5879	0.55662	0.836306167
Protein	Alb	Kidney-related	sCr	-0.0486	0.0603	-0.8064	0.42004	0.762966122
Protein	Alb	Kidney-related	eGFR	0.0587	0.0598	0.9814	0.32642	0.700033253
Protein	Alb	Kidney-related	UA	0.0426	0.0492	0.8648	0.38716	0.738377624
Protein	Alb	Electrolyte	Na	0.0215	0.0731	0.2939	0.76882	0.921380055
Protein	Alb	Electrolyte	K	0.0213	0.058	0.3672	0.71348	0.903018476
Protein	Alb	Electrolyte	Cl	-0.1917	0.0654	-2.9305	0.0033838	0.049443884
Protein	Alb	Electrolyte	Ca	0.2019	0.0786	2.5676	0.010239	0.107826849
Protein	Alb	Electrolyte	P	0.0751	0.1072	0.7004	0.4837	0.794200922
Protein	Alb	Liver-related	TBil	0.1694	0.0712	2.3796	0.017331	0.154950219
Protein	Alb	Liver-related	ZTT	-0.4776	0.173	-2.7609	0.0057647	0.071631917
Protein	Alb	Liver-related	AST	0.1591	0.0682	2.3329	0.019655	0.169291692
Protein	Alb	Liver-related	ALT	0.2536	0.063	4.0274	5.64E-05	0.001725426
Protein	Alb	Liver-related	ALP	0.0459	0.0559	0.8223	0.41092	0.753852927
Protein	Alb	Liver-related	GGT	0.1808	0.0701	2.5767	0.0099755	0.106758078
Protein	Alb	Other biochemical	APTT	-0.0551	0.1135	-0.4856	0.62726	0.867355282
Protein	Alb	Other biochemical	PT	-0.0597	0.0965	-0.6184	0.53629	0.825840204
Protein	Alb	Other biochemical	Fbg	-0.3535	0.2942	-1.2015	0.22956	0.606583644
Protein	Alb	Other biochemical	CK	0.127	0.0639	1.9874	0.046883	0.281585626
Protein	Alb	Other biochemical	LDH	0.0506	0.081	0.6251	0.53192	0.822994358
Protein	Alb	Other biochemical	CRP	-0.3936	0.1713	-2.2982	0.021551	0.179179864
Protein	Alb	Hematological	WBC	-0.0444	0.0642	-0.6916	0.48919	0.796932063
Protein	Alb	Hematological	Neutro	-0.0292	0.0701	-0.4169	0.67676	0.892921887
Protein	Alb	Hematological	Eosino	-0.0992	0.0753	-1.3163	0.18808	0.555445913
Protein	Alb	Hematological	Baso	0.0306	0.0813	0.3756	0.70721	0.90257998
Protein	Alb	Hematological	Mono	-0.2693	0.0753	-3.5743	0.00035112	0.00864771
Protein	Alb	Hematological	Lym	0.0726	0.0763	0.9508	0.3417	0.709865889
Protein	Alb	Hematological	RBC	0.0944	0.065	1.4523	0.14641	0.488126255
Protein	Alb	Hematological	Hb	0.1503	0.0739	2.0337	0.041983	0.26474304
Protein	Alb	Hematological	Ht	0.113	0.0722	1.5651	0.11756	0.442233391
Protein	Alb	Hematological	MCV	-0.0231	0.057	-0.4055	0.68508	0.896110465
Protein	Alb	Hematological	MCH	0.0261	0.0614	0.4258	0.67026	0.889440244
Protein	Alb	Hematological	MCHC	0.1933	0.0714	2.7067	0.0067958	0.080207229
Protein	Alb	Hematological	Plt	0.026	0.0588	0.4423	0.65827	0.881635705
Protein	Alb	Blood pressure	SBP	0.0111	0.0631	0.176	0.8603	0.957961796
Protein	Alb	Blood pressure	DBP	0.0849	0.0579	1.4658	0.14269	0.485502346
Protein	Alb	Blood pressure	MAP	0.0527	0.0594	0.8884	0.37434	0.730765424
Protein	Alb	Blood pressure	PP	-0.0515	0.0671	-0.7676	0.44274	0.769949591
Protein	Alb	Echocardiographic	IVS	-0.2413	0.1534	-1.5727	0.11579	0.440226835
Protein	Alb	Echocardiographic	PW	-0.0921	0.1055	-0.8735	0.38238	0.736547014
Protein	Alb	Echocardiographic	LVDd	0.0072	0.0934	0.0772	0.93847	0.983661905
Protein	Alb	Echocardiographic	LVDs	0.0624	0.093	0.6711	0.50218	0.804638658
Protein	Alb	Echocardiographic	LVM	-0.0632	0.0854	-0.7395	0.4596	0.779806586
Protein	Alb	Echocardiographic	LVMI	0.0039	0.0952	0.0409	0.96734	0.993040417
Protein	Alb	Echocardiographic	RWT	-0.0867	0.1168	-0.7423	0.45791	0.779302721
Protein	Alb	Echocardiographic	FS	-0.1375	0.1289	-1.0671	0.28594	0.666325687
Protein	Alb	Echocardiographic	EF	-0.1506	0.1247	-1.2075	0.22726	0.605212084
Protein	Alb	Metabolic disease	T2D	-0.1038	0.0529	-1.9609	0.049896	0.291946567
Protein	Alb	Cardiovascular disease	IS	-0.0852	0.0902	-0.9445	0.34492	0.711416977
Protein	Alb	Cardiovascular disease	CeAn	0.0578	0.0912	0.6334	0.52648	0.820085792
Protein	Alb	Cardiovascular disease	MI	-0.1805	0.0644	-2.8007	0.0050992	0.065470384
Protein	Alb	Cardiovascular disease	PAD	-0.077	0.0892	-0.8636	0.38778	0.738592646
Protein	Alb	Cardiovascular disease	AF	-0.0946	0.0781	-1.2114	0.22573	0.603507422
Protein	Alb	Allergic disease	Asthma	-0.2228	0.0748	-2.9799	0.0028833	0.044805567
Protein	Alb	Allergic disease	AD	-0.093	0.1072	-0.8672	0.38581	0.737522889
Protein	Alb	Autoimmune disease	GD	-0.0406	0.084	-0.4836	0.62864	0.868037461
Protein	Alb	Autoimmune disease	RA	-0.0183	0.0672	-0.272	0.78562	0.92717579
Protein	Alb	Infectious disease	CHB	-0.0791	0.1576	-0.5022	0.61553	0.866121265
Protein	Alb	Infectious disease	CHC	-0.2059	0.1114	-1.8483	0.064559	0.330474567
Protein	Alb	Hematologic disease	Anemia	-0.1574	0.1711	-0.9201	0.35751	0.717217807
Protein	Alb	Psychiatric disease	BD	0.0299	0.1027	0.2915	0.77067	0.921621879
Protein	Alb	Psychiatric disease	SCZ	0.012	0.0821	0.1467	0.88333	0.963855369
Protein	Alb	Musculoskeletal disease	AIS	0.019	0.0686	0.2776	0.78134	0.925227529
Protein	Alb	Musculoskeletal	Osteoporosis	-0.2079	0.1959	-1.0614	0.28851	0.666551717
Protein	Alb	Tumor	LuCa	-0.3173	0.1984	-1.5993	0.10976	0.431034394
Protein	Alb	Tumor	GaCa	-0.103	0.106	-0.9711	0.33151	0.704391297
Protein	Alb	Tumor	EsCa	-0.1956	0.1134	-1.7257	0.084399	0.383863512
Protein	Alb	Tumor	CoCa	-0.1205	0.1026	-1.1742	0.2403	0.62360159
Protein	Alb	Tumor	PrCa	-0.0821	0.0873	-0.9406	0.34692	0.712278706
Protein	Alb	Tumor	BrCa	-0.0192	0.1068	-0.1802	0.85701	0.957778095
Protein	Alb	Tumor	EnCa	-0.1458	0.1643	-0.8871	0.37501	0.730791841
Protein	Alb	Tumor	UF	0.0115	0.1087	0.1054	0.91606	0.976580479
Protein	Alb	Other	Glaucoma	-0.1313	0.0894	-1.4686	0.14194	0.484178606
Protein	Alb	Other	COPD	-0.1363	0.1164	-1.1708	0.2417	0.624725989
Protein	Alb	Other	Epilepsy	-0.2639	0.1869	-1.4117	0.15805	0.509917992
Protein	Alb	Other	Pollinosis	-0.1623	0.1215	-1.3358	0.1816	0.547095323
Protein	Alb	Other	Urolithiasis	0.107	0.0988	1.0828	0.27889	0.660088532
Protein	NAP	Protein	A/G	-0.9258	0.0126	-73.3691	0	0
Protein	NAP	Kidney-related	BUN	-0.092	0.0508	-1.8134	0.069767	0.342957089
Protein	NAP	Kidney-related	sCr	-0.0135	0.0497	-0.2718	0.78581	0.92717579
Protein	NAP	Kidney-related	eGFR	0.0261	0.0507	0.5149	0.60664	0.864337471
Protein	NAP	Kidney-related	UA	0.131	0.0403	3.2484	0.0011604	0.022275129
Protein	NAP	Electrolyte	Na	-0.2592	0.0564	-4.5951	4.33E-06	0.000178293
Protein	NAP	Electrolyte	K	-0.0044	0.0523	-0.0845	0.93265	0.981153958
Protein	NAP	Electrolyte	Cl	-0.1723	0.0516	-3.3403	0.00083685	0.017431407
Protein	NAP	Electrolyte	Ca	0.0546	0.072	0.758	0.44842	0.774256049
Protein	NAP	Electrolyte	P	-0.0365	0.1029	-0.3549	0.72265	0.905277479
Protein	NAP	Liver-related	TBil	-0.0836	0.0567	-1.4749	0.14024	0.483431747
Protein	NAP	Liver-related	ZTT	0.9125	0.2139	4.2666	1.98E-05	0.000658718
Protein	NAP	Liver-related	AST	0.1187	0.0635	1.871	0.061338	0.322450579
Protein	NAP	Liver-related	ALT	0.0584	0.0652	0.8961	0.37018	0.729964418
Protein	NAP	Liver-related	ALP	0.0326	0.0691	0.4715	0.63725	0.871628013
Protein	NAP	Liver-related	GGT	0.1535	0.0478	3.2131	0.0013131	0.02437014
Protein	NAP	Other biochemical	APTT	0.0314	0.099	0.3171	0.75116	0.915077238
Protein	NAP	Other biochemical	PT	0.0667	0.0819	0.8143	0.41546	0.758127381
Protein	NAP	Other biochemical	Fbg	0.0974	0.215	0.4529	0.65063	0.880153453
Protein	NAP	Other biochemical	CK	0.0057	0.058	0.0977	0.92215	0.977889003
Protein	NAP	Other biochemical	LDH	-0.0059	0.0839	-0.0702	0.94399	0.985312763
Protein	NAP	Other biochemical	CRP	0.3583	0.1424	2.5158	0.011875	0.118628827
Protein	NAP	Hematological	WBC	0.1118	0.0533	2.0973	0.035965	0.244831583
Protein	NAP	Hematological	Neutro	-0.0351	0.0521	-0.6727	0.50116	0.804231856
Protein	NAP	Hematological	Eosino	0.1102	0.0755	1.4596	0.14439	0.486827708
Protein	NAP	Hematological	Baso	0.084	0.0765	1.0979	0.27226	0.655701205
Protein	NAP	Hematological	Mono	0.1356	0.0715	1.8952	0.058067	0.313209879
Protein	NAP	Hematological	Lym	0.1586	0.0748	2.1215	0.033882	0.237355835
Protein	NAP	Hematological	RBC	-0.0408	0.0479	-0.8523	0.39404	0.743398651
Protein	NAP	Hematological	Hb	-0.0459	0.0588	-0.782	0.43422	0.76871859
Protein	NAP	Hematological	Ht	-0.0535	0.057	-0.9386	0.34796	0.712278706
Protein	NAP	Hematological	MCV	0.0047	0.0445	0.1052	0.91623	0.976580479
Protein	NAP	Hematological	MCH	0.0054	0.045	0.1202	0.90434	0.972109646
Protein	NAP	Hematological	MCHC	-0.0376	0.0712	-0.5284	0.59725	0.860627054
Protein	NAP	Hematological	Plt	0.186	0.0468	3.9753	7.03E-05	0.002084884
Protein	NAP	Blood pressure	SBP	0.1101	0.0512	2.152	0.031396	0.227171112
Protein	NAP	Blood pressure	DBP	0.1481	0.0509	2.9088	0.0036283	0.051855558
Protein	NAP	Blood pressure	MAP	0.1356	0.0495	2.7395	0.0061528	0.075060326
Protein	NAP	Blood pressure	PP	0.0423	0.0595	0.7112	0.47695	0.791795288
Protein	NAP	Echocardiographic	IVS	-0.2384	0.1422	-1.6766	0.093623	0.40350515
Protein	NAP	Echocardiographic	PW	-0.0239	0.0904	-0.2642	0.79161	0.929953127
Protein	NAP	Echocardiographic	LVDd	0.1482	0.0839	1.7665	0.077311	0.366475096
Protein	NAP	Echocardiographic	LVDs	0.1327	0.0827	1.6051	0.10846	0.428665671
Protein	NAP	Echocardiographic	LVM	0.0225	0.0772	0.2911	0.77094	0.921621879
Protein	NAP	Echocardiographic	LVMI	0.0441	0.0864	0.5103	0.60984	0.865412027
Protein	NAP	Echocardiographic	RWT	-0.1448	0.1043	-1.3885	0.16498	0.519823009
Protein	NAP	Echocardiographic	FS	-0.1356	0.104	-1.3046	0.19203	0.562445385
Protein	NAP	Echocardiographic	EF	-0.1568	0.1019	-1.5391	0.12379	0.453875023
Protein	NAP	Metabolic disease	T2D	0.1349	0.0488	2.7638	0.0057129	0.071247504
Protein	NAP	Cardiovascular disease	IS	0.1276	0.0756	1.6888	0.091254	0.398828866
Protein	NAP	Cardiovascular disease	CeAn	0.1069	0.0819	1.3059	0.1916	0.562085333
Protein	NAP	Cardiovascular disease	MI	0.1513	0.0587	2.5756	0.010008	0.10678836
Protein	NAP	Cardiovascular disease	PAD	0.2156	0.0753	2.8634	0.004191	0.057307317
Protein	NAP	Cardiovascular disease	AF	0.0839	0.0613	1.369	0.171	0.528551823
Protein	NAP	Allergic disease	Asthma	0.0298	0.0709	0.4194	0.67491	0.892409366
Protein	NAP	Allergic disease	AD	0.0905	0.1038	0.872	0.38319	0.736761118
Protein	NAP	Autoimmune disease	GD	0.1425	0.0786	1.8135	0.069756	0.342957089
Protein	NAP	Autoimmune disease	RA	0.0903	0.0741	1.2189	0.22286	0.599807395
Protein	NAP	Infectious disease	CHB	0.1394	0.1565	0.8905	0.3732	0.730055681
Protein	NAP	Infectious disease	CHC	-0.0555	0.0947	-0.5857	0.55805	0.836306167
Protein	NAP	Hematologic disease	Anemia	0.0055	0.1435	0.0382	0.96951	0.993040417
Protein	NAP	Psychiatric disease	BD	0.0242	0.089	0.2714	0.7861	0.92717579
Protein	NAP	Psychiatric disease	SCZ	-0.0446	0.0657	-0.6788	0.49729	0.801724018
Protein	NAP	Musculoskeletal disease	AIS	0.125	0.0607	2.058	0.039586	0.256653603
Protein	NAP	Musculoskeletal	Osteoporosis	-0.0724	0.1755	-0.4124	0.68003	0.894035144
Protein	NAP	Tumor	LuCa	-0.1457	0.1558	-0.9356	0.34946	0.712337107
Protein	NAP	Tumor	GaCa	-0.1411	0.0928	-1.5204	0.1284	0.460971188
Protein	NAP	Tumor	EsCa	0.0158	0.1047	0.1512	0.8798	0.963180542
Protein	NAP	Tumor	CoCa	-0.1151	0.0956	-1.2037	0.2287	0.606357782
Protein	NAP	Tumor	PrCa	-0.085	0.0731	-1.1621	0.24519	0.627968633
Protein	NAP	Tumor	BrCa	-0.1509	0.0976	-1.5452	0.12231	0.451224972
Protein	NAP	Tumor	EnCa	-0.3208	0.1504	-2.1334	0.03289	0.232977215
Protein	NAP	Tumor	UF	-0.0157	0.0939	-0.1672	0.86722	0.959381315
Protein	NAP	Other	Glaucoma	0.0802	0.0839	0.9553	0.33944	0.70840586
Protein	NAP	Other	COPD	-0.1037	0.0969	-1.0703	0.28448	0.665486069
Protein	NAP	Other	Epilepsy	0.1094	0.1609	0.6795	0.4968	0.801594067
Protein	NAP	Other	Pollinosis	0.1313	0.1089	1.2065	0.22762	0.605212084
Protein	NAP	Other	Urolithiasis	0.0971	0.0744	1.3058	0.19162	0.562085333
Protein	A/G	Kidney-related	BUN	0.0577	0.0499	1.155	0.24808	0.631366
Protein	A/G	Kidney-related	sCr	0.0052	0.0446	0.1166	0.9072	0.973402651
Protein	A/G	Kidney-related	eGFR	-0.0076	0.0462	-0.1639	0.86984	0.960601647
Protein	A/G	Kidney-related	UA	-0.0847	0.0379	-2.2336	0.025512	0.200210405
Protein	A/G	Electrolyte	Na	0.2527	0.0552	4.5803	4.64E-06	0.000189396
Protein	A/G	Electrolyte	K	0.0162	0.0489	0.332	0.73992	0.911045882
Protein	A/G	Electrolyte	Cl	0.081	0.051	1.5871	0.11248	0.436110574
Protein	A/G	Electrolyte	Ca	0.0393	0.0716	0.5485	0.58337	0.852416761
Protein	A/G	Electrolyte	P	0.0348	0.1029	0.3379	0.73541	0.909901389
Protein	A/G	Liver-related	TBil	0.1248	0.0545	2.2909	0.02197	0.18016877
Protein	A/G	Liver-related	ZTT	-0.9388	0.2175	-4.3158	1.59E-05	0.000556072
Protein	A/G	Liver-related	AST	-0.0393	0.0619	-0.6349	0.52549	0.819708785
Protein	A/G	Liver-related	ALT	0.0503	0.0594	0.8473	0.3968	0.74492232
Protein	A/G	Liver-related	ALP	-0.0155	0.062	-0.2505	0.80219	0.935211682
Protein	A/G	Liver-related	GGT	-0.0406	0.0485	-0.8374	0.40238	0.747850062
